brand,title,rating,totalReviews,price,originalPrice
Samsung,Samsung Galaxy S7 Edge G935FD 32GB Unlocked GSM 4G LTE,3.8,783,399.0,0.0
Samsung,Samsung Galaxy S6 SM-G920A 32GB Unlocked GSM 4G LTE Octa-Core Smartphone w/ 16MP Camera - White (Renewed),2.9,11,122.99,0.0
Samsung,Samsung Galaxy S6 SM-G920A 32GB White Smartphone for AT&T (Renewed),3.6,139,129.0,0.0
Samsung,"Samsung Galaxy S5 G900A Factory Unlocked Cellphone, Android 16GB, Gold",3.2,1,210.99,0.0
Samsung,Samsung Galaxy S6 G920P 32GB Black Boost Mobile Smartphone,3.7,29,0.0,0.0
Samsung,Samsung Galaxy S7 32GB G930V Unlocked - Black,3.2,250,275.99,0.0
Motorola,Moto G Plus (4th Gen.) Unlocked - Black - 64GB - U.S. Warranty,3.5,1,0.0,0.0
Motorola,Moto G (4th Gen.) Unlocked - Black - 32GB,3.5,1,0.0,0.0
Samsung,"Samsung Galaxy J3 Express Prime 2 SM-J327A 4G LTE 7.0 Nougat 5"" Smartphone (AT&T) - Black",3.9,50,0.0,0.0
Samsung,Samsung Galaxy J1 Mini 8GB J106H/DS Dual Sim Unlocked Phone - Retail Packaging- Black,3.2,169,104.9,0.0
,Microsoft Lumia 950 32GB Dual Sim NAM RM-1118 GSM Factory Unlocked - US Warranty (Black),3.9,67,242.99,0.0
Samsung,"Samsung Galaxy J3, Verizon LTE Prepaid (Black)",3.6,91,139.97,0.0
Samsung,Samsung Galaxy S7 Edge G935A 32GB AT&T - Black Onyx,3.5,211,289.44,0.0
Samsung,Samsung Galaxy S7 G930T 32GB T-Mobile - Black,3.8,194,0.0,0.0
Sony,"Sony Xperia XA Ultra (F3213) 4G LTE Unlocked GSM Phone w/ 6” Borderless Display, 21.5MP+16MP Cameras, Octa-Core CPU - White",3.6,441,119.99,299.99
Sony,Sony Xperia X Performance F8131 32GB Unlocked GSM LTE Android Phone w/ 23MP Camera - Black,3.9,117,169.0,0.0
Sony,Sony Xperia X F5121 32GB GSM 23MP Camera Phone - Graphite Black,3.8,200,199.99,0.0
Samsung,Samsung Galaxy Amp 2 - Cricket,3.9,11,199.99,0.0
Apple,"Apple iPhone SE, 16GB, Rose Gold - For AT&T / T-Mobile (Renewed)",3.8,2,133.55,0.0
Samsung,Samsung Galaxy S7 Active SM-G891A 32GB Sandy Gold No-Contract AT&T,3.6,39,0.0,0.0
Motorola,Motorola Droid MAXX XT1080M 16GB Black Verizon and GSM Unlocked (Certified Refurbished),3.3,17,0.0,0.0
Samsung,Samsung Galaxy S6 G920V 32GB Verizon 4G LTE Smartphone W/ 16MP Camera - White,3.4,45,257.98,0.0
Motorola,Motorola Droid MAXX XT1080M 16GB Red Verizon and GSM Unlocked (Renewed),3.4,15,134.99,0.0
Samsung,"Samsung Galaxy S7 G930V 32GB, Verizon, Black Onyx, Unlocked Smartphones (Renewed)",3.7,190,145.0,0.0
Samsung,Samsung Galaxy S6 G920T Unlocked GSM 4G LTE Smartphone w/ 16MP Camera - White Pearl,2.9,55,0.0,0.0
Samsung,Samsung Galaxy S7 32GB T-Mobile - Gold Platinum,3.8,194,0.0,0.0
Motorola,motorola G4 16GB Smartphone,3.0,1,206.95,0.0
Samsung,"Samsung GS6 5.1"" Certified Pre-Owned Carrier Locked Phone - 32GB - White (Verizon)",2.9,2,345.92,0.0
Samsung,"Samsung Galaxy S6 (Verizon) Certified Pre-Owned Prepaid Carrier Locked, White",2.5,3,133.65,0.0
Apple,"Apple iPhone 6S Plus, 16GB, Silver - For AT&T / T-Mobile (Renewed)",4.1,195,198.9,339.99
Motorola,Motorola DROID Turbo XT1254 32GB Verizon Black Ballistic Nylon (Renewed),3.2,77,59.99,0.0
Samsung,Samsung Galaxy S6 G920A 64GB Unlocked GSM 4G LTE Octa-Core Android Smartphone with 16MP Camera - Black Sapphire,2.9,61,0.0,0.0
Samsung,Samsung Convoy 4 B690 Rugged Water-Resistant Verizon Flip Phone w/ 5MP Camera - Blue,3.3,115,73.5,0.0
Motorola,"Moto Z GSM Unlocked Smartphone, 5.5"" Quad HD screen, 64GB storage, 5.2mm thin - Black",3.0,305,0.0,0.0
Sony,"Sony Xperia XZ F8332 64GB Forest Blue, 5.2"", Dual Sim, GSM Unlocked International Model, No Warranty",3.9,255,269.99,679.99
Google,Google Pixel XL Phone 32GB - 5.5 inch display ( Factory Unlocked US Version ) (Very Silver),3.9,455,185.0,0.0
Apple,"Apple iPhone 6S, 32GB, Silver - For AT&T / T-Mobile (Renewed)",4.1,46,152.95,0.0
Samsung,Samsung Galaxy S6 Edge Plus SM-G928T 32GB for T-Mobile (Renewed),4.0,12,198.99,0.0
Google,"Google Pixel Phone - 5 inch display (Factory Unlocked US Version) (32GB, Quite Black)",3.5,302,219.99,0.0
Google,"Google Pixel XL G2PW210032GBBK Factory Unlocked Smartphone, 32GB, 5.5-Inch Display - U.S. Version (Quite Black)",3.4,429,201.48,0.0
Google,Google Pixel XL Phone 32GB - 5.5 inch display (Factory Unlocked US Version) (Really Blue),3.8,20,289.97,0.0
Sony,Sony Xperia XZ F8331 32GB Unlocked GSM 4G LTE Phone w/ 23MP Camera - Mineral Black,3.6,249,259.99,0.0
Samsung,Samsung Galaxy Note 5 SM-N920V 32GB White Smartphone for Verizon (Renewed),3.2,289,169.95,0.0
HUAWEI,Huawei Honor 8 Dual Camera Unlocked Phone 64GB - Sapphire Blue - GSM - US Warranty,4.2,1,0.0,0.0
Motorola,"Motorola MOTO Z PLAY (XT1635) Factory Unlocked Phone - 5.5"" Screen - 32GB - Black (International Version - No Warranty)",4.1,161,169.0,0.0
Samsung,Samsung Galaxy S7 G930P 32GB Gold - Sprint (Renewed),3.5,140,174.95,0.0
Samsung,Samsung Galaxy Note 5 N920T 32GB - White (T-Mobile),3.7,14,366.73,0.0
Samsung,"Samsung Galaxy S6, G920P White Pearl 32GB - Sprint (Renewed)",3.1,124,134.99,0.0
Motorola,Motorola Droid MAXX 2 XT1565 16GB Blue - Verizon Unlocked (Renewed),3.3,27,129.99,0.0
Motorola,"Motorola XT1601 Moto G4 Play DUAL SIM Black+Lava Cover 2GB/16GB (International Version) , GSM ONLY",3.5,7,141.99,0.0
Samsung,Samsung J3 - Verizon Prepaid,3.6,41,105.0,0.0
Google,"Google Pixel XL (128GB, 4GB RAM) 5.5"" AMOLED HD Display, Global 4G LTE, US Factory Unlocked Model (GSM, Verizon, Sprint) - Very Silver",3.9,87,329.99,399.99
